1598067427.786086,1595834240.037288,in,1,"2020-08-22 10:08:07",0,1
1598067435.191529,1595834247.342006,in,1,"2020-08-22 10:08:15",-1,-1
1598067440.080537,1595834252.107522,in,2,"2020-08-22 10:08:20",1,1
1598067443.034288,1595834255.157342,in,2,"2020-08-22 10:08:23",-1,-1
1598067449.604263,1595834261.716760,in,1,"2020-08-22 10:08:29",0,1
1598067462.183003,1595834274.278556,in,3,"2020-08-22 10:08:42",1,1
1598067465.137290,1595834277.206585,in,3,"2020-08-22 10:08:45",-1,-1
1598067468.793495,1595834280.983742,in,3,"2020-08-22 10:08:48",1,1
1598067480.048343,1595834292.281840,in,3,"2020-08-22 10:08:00",0,1
1598067491.539035,1595834303.639058,in,2,"2020-08-22 10:08:11",1,1
1598067492.667013,1595834304.763735,in,2,"2020-08-22 10:08:12",1,1
1598067494.473916,1595834305.799975,in,2,"2020-08-22 10:08:14",1,1
1598067495.505420,1595834307.655347,in,2,"2020-08-22 10:08:15",1,1
1598067496.767404,1595834308.866867,in,2,"2020-08-22 10:08:16",1,1
1598067497.867429,1595834310.327415,in,3,"2020-08-22 10:08:17",0,1
1598067498.348082,1595834310.234377,in,2,"2020-08-22 10:08:18",1,1
1598067504.908984,1595834316.927943,in,2,"2020-08-22 10:08:24",1,1
1598067505.972388,1595834318.143676,in,2,"2020-08-22 10:08:25",1,1
1598067510.823901,1595834322.740602,in,2,"2020-08-22 10:08:30",1,1
1598067511.101776,1595834322.928994,in,1,"2020-08-22 10:08:31",1,1
1598067512.780948,1595834324.888492,in,2,"2020-08-22 10:08:32",1,1
1598067515.214049,1595834327.245772,in,2,"2020-08-22 10:08:35",1,1
1598067516.199854,1595834328.343271,in,2,"2020-08-22 10:08:36",1,1
1598067516.280416,1595834328.456339,in,3,"2020-08-22 10:08:36",-1,-1
1598067517.437025,1595834329.353586,in,2,"2020-08-22 10:08:37",1,1
1598067519.004904,1595834330.890687,in,2,"2020-08-22 10:08:39",1,1
1598067520.007857,1595834332.048757,in,1,"2020-08-22 10:08:40",1,1
1598067520.167675,1595834332.030894,in,2,"2020-08-22 10:08:40",1,1
1598067522.417237,1595834334.339710,in,1,"2020-08-22 10:08:42",1,1
1598067525.476031,1595834336.884721,in,2,"2020-08-22 10:08:45",0,1
1598067527.045932,1595834338.775419,in,2,"2020-08-22 10:08:47",1,1
1598067528.266163,1595834340.232215,in,2,"2020-08-22 10:08:48",1,1
1598067529.387663,1595834341.264020,in,2,"2020-08-22 10:08:49",1,1
1598067530.934562,1595834342.766430,in,2,"2020-08-22 10:08:50",1,1
1598067532.391050,1595834344.196295,in,2,"2020-08-22 10:08:52",1,1
1598067533.793774,1595834346.253186,in,2,"2020-08-22 10:08:53",0,1
1598067536.044055,1595834347.944386,in,2,"2020-08-22 10:08:56",1,1
1598067538.458440,1595834350.372578,in,1,"2020-08-22 10:08:58",1,1
1598067538.593506,1595834349.298336,in,2,"2020-08-22 10:08:58",1,1
1598067540.384659,1595834352.295865,in,2,"2020-08-22 10:08:00",1,1
1598067540.446174,1595834352.463580,in,1,"2020-08-22 10:08:00",1,1
1598067541.533554,1595834353.467685,in,2,"2020-08-22 10:08:01",0,1
1598067542.263054,1595834354.723032,in,2,"2020-08-22 10:08:02",0,1
1598067546.151680,1595834358.043875,in,1,"2020-08-22 10:08:06",1,1
1598067546.367706,1595834358.317273,in,2,"2020-08-22 10:08:06",1,1
1598067547.837102,1595834359.831513,in,1,"2020-08-22 10:08:07",1,1
1598067548.940124,1595834360.901276,in,1,"2020-08-22 10:08:08",1,1
1598067549.358112,1595834361.336946,in,2,"2020-08-22 10:08:09",1,1
1598067550.153344,1595834362.110031,in,1,"2020-08-22 10:08:10",1,1
1598067550.620677,1595834362.637708,in,2,"2020-08-22 10:08:10",1,1
1598067552.188083,1595834364.088209,in,2,"2020-08-22 10:08:12",1,1
1598067553.243632,1595834365.184556,in,1,"2020-08-22 10:08:13",1,1
1598067553.673404,1595834365.447970,in,2,"2020-08-22 10:08:13",0,1
1598067554.694179,1595834366.680183,in,2,"2020-08-22 10:08:14",1,1
1598067555.349842,1595834367.341435,in,1,"2020-08-22 10:08:15",1,1
1598067556.152470,1595834368.350593,in,1,"2020-08-22 10:08:16",0,1
1598067556.475328,1598017734.710066,out1,1,"2020-08-22 10:08:16",-1,-1
1598067558.147707,1595834370.172931,in,1,"2020-08-22 10:08:18",1,1
1598067558.720070,1595834370.666168,in,2,"2020-08-22 10:08:18",1,1
1598067559.652836,1595834371.793368,in,2,"2020-08-22 10:08:19",0,1
1598067559.687581,1595834371.637052,in,1,"2020-08-22 10:08:19",1,1
1598067561.360832,1595834373.525584,in,3,"2020-08-22 10:08:21",1,1
1598067561.653532,1598017739.839777,out1,1,"2020-08-22 10:08:21",1,1
1598067562.299075,1595834374.273829,in,1,"2020-08-22 10:08:22",1,1
1598067563.909863,1595834375.995925,in,1,"2020-08-22 10:08:23",1,1
1598067565.043575,1595834377.060618,in,1,"2020-08-22 10:08:25",1,1
1598067566.882548,1595834378.899801,in,1,"2020-08-22 10:08:26",1,1
1598067567.842841,1595834379.949794,in,3,"2020-08-22 10:08:27",1,1
1598067568.426839,1595834380.424642,in,1,"2020-08-22 10:08:28",1,1
1598067569.864358,1595834382.324984,in,1,"2020-08-22 10:08:29",0,1
1598067571.367180,1595834383.112230,in,1,"2020-08-22 10:08:31",0,1
1598067573.525385,1595834385.445802,in,1,"2020-08-22 10:08:33",1,1
1598067574.583414,1598017752.984314,out1,1,"2020-08-22 10:08:34",0,-1
