1597968330.950273,1595787470.856925,in,1,"2020-08-21 07:08:30",-1,-1
1597968338.673979,1595787478.493494,in,1,"2020-08-21 07:08:38",1,1
1597968344.564857,1595787484.533034,in,1,"2020-08-21 07:08:44",-1,-1
1597968349.644726,1595787489.724595,in,2,"2020-08-21 07:08:49",0,1
1597968352.091872,1595787492.100261,in,2,"2020-08-21 07:08:52",0,1
1597968360.595109,1595787500.693346,in,2,"2020-08-21 07:08:00",0,1
1597968364.630532,1595787504.726694,in,2,"2020-08-21 07:08:04",0,1
1597968372.219104,1595787512.225042,in,2,"2020-08-21 07:08:12",0,1
1597968376.550538,1595787516.495924,in,2,"2020-08-21 07:08:16",0,1
1597968381.281718,1595787521.275185,in,2,"2020-08-21 07:08:21",0,1
1597968386.194001,1595787526.011302,in,1,"2020-08-21 07:08:26",1,1
1597968391.312495,1595787531.174702,in,1,"2020-08-21 07:08:31",-1,-1
1597968395.663212,1595787535.472549,in,1,"2020-08-21 07:08:35",1,1
1597968400.439847,1595787540.346905,in,3,"2020-08-21 07:08:40",1,1
1597968404.054147,1595787543.963595,in,3,"2020-08-21 07:08:44",-1,-1
1597968410.927556,1595787550.808354,in,1,"2020-08-21 07:08:50",-1,-1
1597968414.435312,1595787554.393226,in,2,"2020-08-21 07:08:54",0,1
1597968417.351456,1595787557.335468,in,2,"2020-08-21 07:08:57",0,1
1597968461.912229,1595787601.875813,in,2,"2020-08-21 07:08:41",0,1
1597968481.477949,1597928151.735136,out1,1,"2020-08-21 07:08:01",-1,-1
1597968486.115967,1597928156.377199,out1,1,"2020-08-21 07:08:06",1,1
1597968489.826250,1597968488.418482,out1,1,"2020-08-21 07:08:09",-1,-1
1597968516.287371,1595787656.216242,in,2,"2020-08-21 07:08:36",0,1
1597968530.056017,1595787670.006833,in,2,"2020-08-21 07:08:50",0,1
1597968533.904261,1595787673.917169,in,2,"2020-08-21 07:08:53",0,1
1597968537.980210,1595787677.862568,in,2,"2020-08-21 07:08:57",0,1
1597968647.614210,1595787787.555575,in,2,"2020-08-21 07:08:47",0,1
1597968654.890887,1595787794.788401,in,2,"2020-08-21 07:08:54",0,1
1597968731.893079,1597968730.440381,out1,1,"2020-08-21 07:08:11",-1,-1
1597968735.219637,1595787875.157968,in,2,"2020-08-21 07:08:15",0,1
1597968773.826870,1597968772.570104,out1,1,"2020-08-21 07:08:53",0,-1
1597968830.231004,1597968828.727847,out1,1,"2020-08-21 07:08:50",-1,-1
1597968870.669649,1595788010.732399,in,3,"2020-08-21 07:08:30",0,1
1597968871.421033,1595788011.577095,in,3,"2020-08-21 07:08:31",0,1
1597968877.976429,1595788017.950514,in,2,"2020-08-21 07:08:37",0,1
1597968878.849437,1595788018.808047,in,2,"2020-08-21 07:08:38",0,1
1597968880.352919,1595788020.346040,in,2,"2020-08-21 07:08:40",0,1
1597968881.457229,1595788021.389524,in,2,"2020-08-21 07:08:41",0,1
1597968882.444516,1595788022.541562,in,2,"2020-08-21 07:08:42",0,1
1597968883.439682,1595788023.392593,in,2,"2020-08-21 07:08:43",0,1
1597968902.594667,1595788042.511140,in,3,"2020-08-21 07:08:02",-1,-1
1597968911.253192,1595788051.076036,in,3,"2020-08-21 07:08:11",-1,-1
1597968913.478578,1595788053.429314,in,3,"2020-08-21 07:08:13",-1,-1
1597968915.314792,1595788055.210429,in,2,"2020-08-21 07:08:15",0,1
1597968927.674251,1595788067.643834,in,3,"2020-08-21 07:08:27",1,1
1597968931.067752,1597968929.145000,sys,1,"2020-08-21 07:08:31",1,1
1597968932.573034,1597968930.652000,sys,1,"2020-08-21 07:08:32",-1,-1
1597968933.467633,1597968931.546000,sys,1,"2020-08-21 07:08:33",1,1
1597968934.216604,1597968932.294000,sys,1,"2020-08-21 07:08:34",-1,-1
1597968935.199033,1597968933.278000,sys,1,"2020-08-21 07:08:35",1,1
1597968936.163267,1597968934.241000,sys,1,"2020-08-21 07:08:36",-1,-1
1597968996.494832,1595788136.412370,in,3,"2020-08-21 07:08:36",-1,-1
1597968997.589797,1595788137.399627,in,3,"2020-08-21 07:08:37",-1,-1
1597969009.395567,1595788149.214012,in,3,"2020-08-21 07:08:49",1,1
1597969031.158150,1595788171.155525,in,3,"2020-08-21 07:08:11",-1,-1
1597969032.757610,1595788172.564577,in,3,"2020-08-21 07:08:12",-1,-1
1597969044.205250,1595788184.170146,in,3,"2020-08-21 07:08:24",-1,-1
1597969047.271080,1595788187.173321,in,3,"2020-08-21 07:08:27",-1,-1
1597969134.916560,1595788274.731163,in,3,"2020-08-21 07:08:54",-1,-1
1597969144.969585,1595788285.076521,in,2,"2020-08-21 07:08:04",0,1
1597969172.383643,1595788312.087640,in,1,"2020-08-21 07:08:32",1,1
1597969175.600155,1595788315.315706,in,1,"2020-08-21 07:08:35",1,1
1597969178.722189,1595788318.792108,in,3,"2020-08-21 07:08:38",0,1
1597969301.521063,1595788441.328256,in,3,"2020-08-21 07:08:41",1,1
1597969304.722086,1595788444.586588,in,3,"2020-08-21 07:08:44",-1,-1
1597969307.842997,1595788447.861256,in,3,"2020-08-21 07:08:47",0,1
1597969310.896616,1595788451.171524,in,3,"2020-08-21 07:08:50",0,1
1597969312.869495,1595788452.871150,in,3,"2020-08-21 07:08:52",0,1
1597969321.999434,1595788461.880763,in,1,"2020-08-21 07:08:01",1,1
1597969322.805095,1595788462.890512,in,3,"2020-08-21 07:08:02",0,1
1597969325.703315,1595788465.978217,in,3,"2020-08-21 07:08:05",0,1
1597969327.299053,1595788467.187953,in,3,"2020-08-21 07:08:07",0,1
