1594754382.096151,out2,1,b,pressed
1594754382.364952,out2,1,b,released
1594754390.495850,out2,1,b,pressed
1594754390.676671,out2,1,a,pressed
1594754390.732499,out2,1,b,released
1594754390.973073,out2,1,a,released
1594754396.549264,out2,1,a,pressed
1594754396.672166,out2,1,b,pressed
1594754396.732910,out2,1,a,released
1594754396.939497,out2,1,b,released
1594754401.278363,out2,1,b,pressed
1594754401.510866,out2,1,a,pressed
1594754401.524218,out2,1,b,released
1594754401.650072,out2,1,a,released
1594754406.406840,out2,1,a,pressed
1594754406.449025,out2,1,a,released
1594754406.554784,out2,1,b,pressed
1594754406.874097,out2,1,b,released
1594756410.764337,out2,1,b,pressed
1594756411.072537,out2,1,a,pressed
1594756411.315624,out2,1,b,released
1594756411.873206,out2,1,b,pressed
1594756412.010794,out2,1,b,released
1594756412.099886,out2,1,b,pressed
1594756412.237285,out2,1,a,released
1594756412.547477,out2,1,b,released
1594756412.795359,out2,1,b,pressed
1594756412.959241,out2,1,a,pressed
1594756413.083977,out2,1,b,released
1594756413.313686,out2,1,b,pressed
1594756414.002652,out2,1,a,released
1594756414.777755,out2,1,a,pressed
1594756414.945659,out2,1,b,released
1594756414.959521,out2,1,a,released
1594756414.973561,out2,1,a,pressed
1594756415.010835,out2,1,b,pressed
1594756415.269645,out2,1,b,released
1594756415.643127,out2,1,b,pressed
1594756415.948109,out2,1,a,released
1594756416.069078,out2,1,a,pressed
1594756416.221232,out2,1,a,released
1594756416.252755,out2,1,b,released
1594756416.612090,out2,1,b,pressed
1594756416.868827,out2,1,a,pressed
1594756417.022158,out2,1,a,released
1594756417.051894,out2,1,a,pressed
1594756417.407909,out2,1,b,released
1594756417.449607,out2,1,a,released
1594756417.758663,out2,1,b,pressed
1594756417.881782,out2,1,a,pressed
1594756418.119810,out2,1,a,released
1594756418.210979,out2,1,a,pressed
1594756418.524810,out2,1,a,released
1594756418.690304,out2,1,a,pressed
1594756418.907799,out2,1,b,released
1594756419.981675,out2,1,a,released
1594756420.198059,out2,1,b,pressed
1594756420.371430,out2,1,a,pressed
1594756420.489779,out2,1,a,released
1594756420.635048,out2,1,a,pressed
1594756420.897103,out2,1,a,released
1594756421.129968,out2,1,b,released
1594756421.430878,out2,1,b,pressed
1594756422.116205,out2,1,b,released
1594756426.349251,out2,1,b,pressed
1594756426.697435,out2,1,b,released
1594756426.920389,out2,1,b,pressed
1594756427.881281,out2,1,b,released
1594756429.460780,out2,1,b,pressed
1594756429.762151,out2,1,a,pressed
1594756429.914360,out2,1,b,released
1594756430.324868,out2,1,b,pressed
1594756430.539271,out2,1,b,released
1594756432.786902,out2,1,b,pressed
1594756433.074396,out2,1,a,released
1594756433.432876,out2,1,b,released
1594756433.503874,out2,1,b,pressed
1594756433.701219,out2,1,b,released
1594756436.999698,out2,1,b,pressed
1594756440.914973,out2,1,b,released
1594756562.550493,out2,1,b,pressed
1594756562.816744,out2,1,b,released
1594756562.831022,out2,1,a,pressed
1594756562.935934,out2,1,a,released
1594756628.035734,out2,1,b,pressed
1594756628.267853,out2,1,a,pressed
1594756628.282604,out2,1,b,released
1594756628.454061,out2,1,a,released
1594756883.771111,out2,1,a,pressed
1594756883.973648,out2,1,b,pressed
1594756884.046209,out2,1,a,released
1594756884.600348,out2,1,b,released
1594756891.847275,out2,1,b,pressed
1594756892.018361,out2,1,a,pressed
1594756892.045875,out2,1,b,released
1594756892.198801,out2,1,a,released
1594757171.672332,out2,1,b,pressed
1594757172.027003,out2,1,b,released
1594757242.236807,out2,1,b,pressed
1594757242.416923,out2,1,a,pressed
1594757242.454045,out2,1,b,released
1594757242.694549,out2,1,a,released
1594757289.893552,out2,1,b,pressed
1594757290.141439,out2,1,a,pressed
1594757290.157530,out2,1,b,released
1594757290.334829,out2,1,a,released
1594757291.613981,out2,1,b,pressed
