1594651891.152111,1594466657.792041,out1,1,"2020-07-13 21:07:31",-1
1594651930.682177,1594651929.970108,in,3,"2020-07-13 21:07:10",1
1594651978.328560,1594648976.703809,out2,1,"2020-07-13 21:07:58",-1
1594651994.932398,1594648993.072393,out2,1,"2020-07-13 21:07:14",1
1594652036.407405,1594652035.664178,in,2,"2020-07-13 21:07:56",1
1594652053.774493,1594466820.295967,out1,1,"2020-07-13 21:07:13",1
1594652094.851609,1594649093.793796,out2,1,"2020-07-13 21:07:54",0
1594652150.413811,1594466917.141412,out1,1,"2020-07-13 21:07:50",-1
1594652202.183135,1594649200.214431,out2,1,"2020-07-13 21:07:42",-1
1594652419.992976,1594649418.783432,out2,1,"2020-07-13 22:07:19",0
1594652434.338094,1594652434.034000,sys,1,"2020-07-13 22:07:34",1
1594652436.256721,1594652435.956000,sys,1,"2020-07-13 22:07:36",-1
1594652461.102095,1594652460.798000,sys,1,"2020-07-13 22:07:01",1
1594652461.287134,1594652460.982000,sys,1,"2020-07-13 22:07:01",1
1594652461.353936,1594652461.180000,sys,1,"2020-07-13 22:07:01",1
1594652461.582326,1594652461.390000,sys,1,"2020-07-13 22:07:01",1
1594652623.017278,1594652622.691356,in,2,"2020-07-13 22:07:43",0
1594652623.019272,1594467390.046283,out1,1,"2020-07-13 22:07:43",0
1594652733.350193,1594467499.873276,out1,1,"2020-07-13 22:07:33",-1
1594652743.194298,1594467509.824074,out1,1,"2020-07-13 22:07:43",1
1594652749.013226,1594467515.682855,out1,1,"2020-07-13 22:07:49",-1
1594652758.766969,1594467525.302297,out1,1,"2020-07-13 22:07:58",1
